Date,Open,High,Low,Close,Adj Close,Volume
29/04/2021,699.51001,702.25,668.5,677,677,28845400
30/04/2021,667.590027,715.469971,666.140015,709.440002,709.440002,40758700
03/05/2021,703.799988,706,680.5,688.900024,684.900024,27043100
04/05/2021,678.940002,683.450012,657.700012,673.599976,673.599976,29739300
05/05/2021,681.059998,685.299988,667.340027,670.940002,670.940002,21901900
06/05/2021,680.76001,681.02002,650,663.539978,663.539978,27784600
07/05/2021,665.799988,690,660.219971,672.369995,672.369995,23469200
10/05/2021,664.900024,665.049988,627.609985,629.039978,629.039978,31392400
11/05/2021,599.23999,627.099976,595.599976,617.200012,617.200012,46503900
12/05/2021,602.48999,620.409973,586.77002,589.890015,581.890015,33823600
13/05/2021,601.539978,606.460022,559.650024,571.690002,571.690002,44184900
14/05/2021,583.409973,592.869995,570.460022,589.73999,589.73999,33370900
17/05/2021,575.549988,589.72998,561.200012,576.830017,576.830017,32390400
18/05/2021,568,596.25,563.380005,577.869995,577.869995,36830600
19/05/2021,552.549988,566.210022,546.97998,562.460022,563.460022,39578400
20/05/2021,575,588.849976,571.070007,586.780029,586.780029,30821100
21/05/2021,596.109985,596.679993,580,580.880005,580.880005,26030600
24/05/2021,581.599976,614.47998,573.650024,606.440002,606.440002,34558100
25/05/2021,607.309998,613.98999,595.710022,604.690002,604.690002,28005900
26/05/2021,607.559998,626.169983,601.5,619.130005,619.130005,28639300
27/05/2021,620.23999,631.130005,616.210022,630.849976,630.849976,26370600
28/05/2021,628.5,635.590027,622.380005,625.219971,625.219971,22737000
01/06/2021,627.799988,633.799988,620.549988,623.900024,623.900024,18084900
02/06/2021,620.130005,623.359985,599.140015,605.119995,605.119995,23302800
03/06/2021,601.799988,604.549988,571.219971,572.840027,572.840027,30111900
04/06/2021,579.710022,600.609985,577.200012,599.049988,599.049988,24036900
07/06/2021,591.830017,610,582.880005,605.130005,605.130005,22543700
08/06/2021,623.01001,623.090027,595.5,603.590027,604.590027,26053400
09/06/2021,602.169983,611.789978,597.630005,598.780029,598.780029,16584600
10/06/2021,603.880005,616.590027,600.5,610.119995,610.119995,23919600
11/06/2021,610.22998,612.559998,601.52002,619.890015,609.890015,16205300
14/06/2021,612.22998,625.48999,609.179993,617.690002,617.690002,20424000
15/06/2021,616.690002,616.789978,598.22998,599.359985,569.359985,17764100
16/06/2021,597.539978,608.5,593.5,604.869995,604.869995,22144100
17/06/2021,601.890015,621.469971,601.340027,616.599976,616.599976,22701400
18/06/2021,613.369995,628.349976,611.799988,623.309998,623.309998,24560900
21/06/2021,624.47998,631.390015,608.880005,620.830017,620.830017,24812700
22/06/2021,618.25,628.570007,615.5,623.710022,623.710022,19158900
23/06/2021,632,657.200012,630.039978,656.570007,656.570007,31099200
24/06/2021,674.98999,697.619995,667.609985,679.820007,679.820007,45982400
25/06/2021,689.580017,693.809998,668.700012,671.869995,671.869995,32496700
28/06/2021,671.640015,694.700012,670.320007,688.719971,688.719971,21628200
29/06/2021,684.650024,687.51001,675.890015,680.76001,680.76001,17381300
30/06/2021,679.77002,692.809998,678.140015,679.700012,679.700012,18924900
01/07/2021,683.919983,687.98999,672.799988,677.919983,677.919983,18634500
02/07/2021,678.97998,700,673.26001,678.900024,678.900024,27054500
06/07/2021,681.710022,684,651.400024,659.580017,659.580017,23284500
07/07/2021,664.27002,665.700012,638.320007,644.650024,644.650024,18792000
08/07/2021,628.369995,654.429993,620.460022,652.809998,652.809998,22773300
09/07/2021,653.179993,658.909973,644.690002,656.950012,656.950012,18140500
12/07/2021,662.200012,687.23999,662.159973,685.700012,685.700012,25927000
13/07/2021,686.320007,693.280029,666.299988,668.539978,668.539978,20966100
14/07/2021,670.75,678.609985,652.840027,653.380005,653.380005,21641200
15/07/2021,658.390015,666.140015,637.880005,650.599976,650.599976,20209600
16/07/2021,654.679993,656.700012,642.200012,644.219971,644.219971,16371000
19/07/2021,629.890015,647.200012,621.289978,646.219971,646.219971,21297100
20/07/2021,651.98999,662.390015,640.5,660.5,660.5,15487100
21/07/2021,659.609985,664.859985,650.289978,655.289978,655.289978,13953300
22/07/2021,656.440002,662.169983,644.599976,649.26001,649.26001,15105700
23/07/2021,646.359985,648.799988,637.299988,643.380005,643.380005,14604900
26/07/2021,650.969971,668.200012,647.109985,657.619995,657.619995,25336600
27/07/2021,663.400024,666.5,627.23999,644.780029,644.780029,32813300
28/07/2021,647,654.969971,639.400024,646.97998,646.97998,16006600
29/07/2021,649.789978,683.690002,648.799988,677.349976,677.349976,30394600
30/07/2021,671.76001,697.530029,669,687.200012,687.200012,29656400
02/08/2021,700,726.940002,698.400024,709.669983,709.669983,33615800
03/08/2021,719,722.650024,701.01001,709.73999,709.73999,21620300
04/08/2021,711,724.900024,708.929993,710.919983,710.919983,17002600
05/08/2021,716,720.950012,711.409973,714.630005,714.630005,12919600
06/08/2021,711.900024,716.330017,697.630005,699.099976,699.099976,15623000
09/08/2021,710.169983,719.030029,705.130005,713.76001,713.76001,14715300
10/08/2021,713.98999,716.590027,701.880005,709.98999,709.98999,13432300
11/08/2021,712.710022,715.179993,704.210022,707.820007,707.820007,9800600
12/08/2021,706.340027,722.799988,699.400024,722.25,722.25,17459100
13/08/2021,723.710022,729.900024,714.340027,717.169983,717.169983,16731500
16/08/2021,705.070007,709.5,676.400024,686.169983,686.169983,22677400
17/08/2021,672.659973,674.580017,648.840027,665.710022,665.710022,23721300
18/08/2021,669.75,695.77002,669.349976,688.98999,688.98999,20349400
19/08/2021,678.210022,686.549988,667.590027,673.469971,673.469971,14313500
20/08/2021,682.849976,692.130005,673.700012,680.26001,680.26001,14841900
23/08/2021,685.440002,712.130005,680.75,706.299988,706.299988,20264900
24/08/2021,710.679993,715.219971,702.640015,708.48999,708.48999,13083100
25/08/2021,707.030029,716.969971,704,711.200012,711.200012,12645600
26/08/2021,708.309998,715.400024,697.619995,701.159973,701.159973,13214300
27/08/2021,705,715,702.099976,711.919983,711.919983,13833800
30/08/2021,714.719971,731,712.72998,730.909973,730.909973,18604200
31/08/2021,733,740.390015,726.440002,735.719971,735.719971,20855400
01/09/2021,734.080017,741.98999,731.27002,734.090027,734.090027,13204300
02/09/2021,734.5,740.969971,730.539978,732.390015,732.390015,12777300
03/09/2021,732.25,734,724.200012,733.570007,733.570007,15246100
07/09/2021,740,760.200012,739.26001,752.919983,752.919983,20039800
08/09/2021,761.580017,764.450012,740.77002,753.869995,753.869995,18793000
09/09/2021,753.409973,762.099976,751.630005,754.859985,754.859985,14077700
10/09/2021,759.599976,762.609985,734.52002,736.27002,736.27002,15184200
13/09/2021,740.210022,744.780029,708.849976,743,743,22952500
14/09/2021,742.570007,754.469971,736.400024,744.48999,744.48999,18524900
15/09/2021,745,756.859985,738.359985,755.830017,755.830017,15357700
16/09/2021,752.830017,758.909973,747.609985,756.98999,756.98999,13923400
17/09/2021,757.150024,761.039978,750,759.48999,759.48999,28204200
20/09/2021,734.559998,742,718.619995,730.169983,730.169983,24757700
21/09/2021,734.789978,744.73999,730.440002,739.380005,739.380005,16330700
22/09/2021,743.530029,753.669983,739.119995,751.940002,751.940002,15126300
23/09/2021,755,758.200012,747.919983,753.640015,753.640015,11947500
24/09/2021,745.890015,774.799988,744.559998,774.390015,774.390015,21373000
27/09/2021,773.119995,799,769.309998,791.359985,791.359985,28070700
28/09/2021,787.200012,795.640015,766.179993,777.559998,777.559998,25381400
29/09/2021,779.799988,793.5,770.679993,781.309998,781.309998,20942900
30/09/2021,781,789.130005,775,775.47998,775.47998,17956000
01/10/2021,778.400024,780.780029,763.590027,775.219971,775.219971,17031400
04/10/2021,796.5,806.969971,776.119995,781.530029,781.530029,30483300
05/10/2021,784.799988,797.309998,774.200012,780.590027,780.590027,18432600
06/10/2021,776.200012,786.659973,773.219971,782.75,782.75,14632800
07/10/2021,785.460022,805,783.380005,793.609985,793.609985,19195800
08/10/2021,796.210022,796.380005,780.909973,785.48999,785.48999,16738600
11/10/2021,787.650024,801.23999,785.5,791.940002,791.940002,14200300
12/10/2021,800.929993,812.320007,796.570007,805.719971,805.719971,22020000
13/10/2021,810.469971,815.409973,805.780029,811.080017,811.080017,14120100
14/10/2021,815.48999,820.25,813.349976,818.320007,818.320007,12247200
15/10/2021,823.73999,843.210022,822.349976,843.030029,843.030029,18924600
18/10/2021,851.789978,875.26001,851.469971,870.109985,870.109985,24207200
19/10/2021,877.530029,877.950012,862.51001,864.27002,864.27002,17381100
20/10/2021,865.349976,869.48999,857.380005,865.799988,865.799988,14032100
21/10/2021,856,900,855.5,894,894,31481500
22/10/2021,895.5,910,890.960022,909.679993,909.679993,22880800
25/10/2021,950.530029,1045.02002,944.200012,1024.859985,1024.859985,62852100
26/10/2021,1024.689941,1094.939941,1001.440002,1018.429993,1018.429993,62415000
27/10/2021,1039.660034,1070.880005,1030.780029,1037.859985,1037.859985,38526500
28/10/2021,1068.310059,1081,1054.199951,1077.040039,1077.040039,27213200
29/10/2021,1081.859985,1115.209961,1073.209961,1114,1114,29918400
01/11/2021,1145,1209.75,1118.660034,1208.589966,1208.589966,56048700
02/11/2021,1159.359985,1208.589966,1146,1172,1172,42737800
03/11/2021,1177.329956,1215.390015,1152.619995,1213.859985,1213.859985,34628500
04/11/2021,1234.410034,1243.48999,1217,1229.910034,1229.910034,25397400
05/11/2021,1228,1239.869995,1208,1222.089966,1222.089966,21628800
08/11/2021,1149.790039,1197,1133,1162.939941,1162.939941,33445700
09/11/2021,1173.599976,1174.5,1011.52002,1023.5,1023.5,59105800
10/11/2021,1010.409973,1078.099976,987.309998,1067.949951,1067.949951,42802700
11/11/2021,1102.77002,1104.969971,1054.680054,1063.51001,1063.51001,22396600
12/11/2021,1047.5,1054.5,1019.200012,1033.420044,1033.420044,25573100
15/11/2021,1017.630005,1031.97998,978.599976,1013.390015,1013.390015,34775600
16/11/2021,1003.309998,1057.199951,1002.179993,1054.72998,1054.72998,26542400
17/11/2021,1063.51001,1119.640015,1055.5,1089.01001,1089.01001,31445400
18/11/2021,1106.550049,1112,1075.02002,1096.380005,1096.380005,20898900
19/11/2021,1098.869995,1138.719971,1092.699951,1137.060059,1137.060059,21642300
22/11/2021,1162.329956,1201.949951,1132.430054,1156.869995,1156.869995,33072500
23/11/2021,1167.51001,1180.5,1062.699951,1109.030029,1109.030029,36171700
24/11/2021,1080.390015,1132.77002,1062,1116,1116,22560200
26/11/2021,1099.469971,1108.780029,1081,1081.920044,1081.920044,11680900
29/11/2021,1100.98999,1142.670044,1100.189941,1136.98999,1136.98999,19464500
30/11/2021,1144.369995,1168,1118,1144.76001,1144.76001,27092000
01/12/2021,1160.699951,1172.839966,1090.76001,1095,1095,22816800
02/12/2021,1099.060059,1113,1056.650024,1084.599976,1084.599976,24371600
03/12/2021,1084.790039,1090.579956,1000.210022,1014.969971,1014.969971,30774000
06/12/2021,1001.51001,1021.640015,950.5,1009.01001,1009.01001,27221000
07/12/2021,1044.199951,1057.670044,1026.810059,1051.75,1051.75,18694900
08/12/2021,1052.709961,1072.380005,1033,1068.959961,1068.959961,13968800
09/12/2021,1060.640015,1062.48999,1002.359985,1003.799988,1003.799988,19812800
10/12/2021,1008.75,1020.97998,982.530029,1017.030029,1017.030029,19888100
13/12/2021,1001.090027,1005,951.419983,966.409973,966.409973,26198500
14/12/2021,945,966.409973,930,958.51001,958.51001,23602100
15/12/2021,953.210022,978.75,928.25,975.98999,975.98999,25056400
16/12/2021,994.5,994.97998,921.849976,926.919983,926.919983,27590500
17/12/2021,914.77002,960.659973,909.039978,932.570007,932.570007,33479100
20/12/2021,910.700012,921.690002,893.390015,899.940002,899.940002,18826700
21/12/2021,916.869995,939.5,886.119995,938.530029,938.530029,23839300
22/12/2021,965.659973,1015.659973,957.049988,1008.869995,1008.869995,31211400
23/12/2021,1006.799988,1072.97998,997.559998,1067,1067,30904400
27/12/2021,1073.670044,1117,1070.719971,1093.939941,1093.939941,23715300
28/12/2021,1109.48999,1119,1078.420044,1088.469971,1088.469971,20108000
29/12/2021,1098.640015,1104,1064.140015,1086.189941,1086.189941,18718000
30/12/2021,1061.329956,1095.550049,1053.150024,1070.339966,1070.339966,15680300
31/12/2021,1073.439941,1082,1054.589966,1056.780029,1056.780029,13577900
03/01/2022,1147.75,1201.069946,1136.040039,1199.780029,1199.780029,34643800
04/01/2022,1189.550049,1208,1123.050049,1149.589966,1149.589966,33416100
05/01/2022,1146.650024,1170.339966,1081.01001,1088.119995,1088.119995,26706600
06/01/2022,1077,1088,1020.5,1064.699951,1064.699951,30112200
07/01/2022,1080.369995,1080.930054,1010,1026.959961,1026.959961,28054900
10/01/2022,1000,1059.099976,980,1058.119995,1058.119995,30605000
11/01/2022,1053.670044,1075.849976,1038.819946,1064.400024,1064.400024,22021100
12/01/2022,1078.849976,1114.839966,1072.589966,1106.219971,1106.219971,27913000
13/01/2022,1109.069946,1115.599976,1026.540039,1031.560059,1031.560059,32403300
14/01/2022,1019.880005,1052,1013.380005,1049.609985,1049.609985,24308100
18/01/2022,1026.609985,1070.790039,1016.059998,1030.51001,1030.51001,22247800
19/01/2022,1041.709961,1054.670044,995,995.650024,995.650024,25147500
20/01/2022,1009.72998,1041.660034,994,996.27002,996.27002,23496200
21/01/2022,996.340027,1004.549988,940.5,943.900024,943.900024,34472000
24/01/2022,904.76001,933.51001,851.469971,930,930,50521900
25/01/2022,914.200012,951.26001,903.210022,918.400024,918.400024,28865300
26/01/2022,952.429993,987.690002,906,937.409973,937.409973,34955800
27/01/2022,933.359985,935.390015,829,829.099976,829.099976,49036500
28/01/2022,831.559998,857.5,792.01001,846.349976,846.349976,44929700
31/01/2022,872.710022,937.98999,862.049988,936.719971,936.719971,34812000
01/02/2022,935.210022,943.700012,905,931.25,931.25,24379400
02/02/2022,928.179993,931.5,889.409973,905.659973,905.659973,22264300
03/02/2022,882,937,880.52002,891.140015,891.140015,26285200
04/02/2022,897.219971,936.5,881.169983,923.320007,923.320007,24541800
07/02/2022,923.789978,947.77002,902.710022,907.340027,907.340027,20331500
08/02/2022,905.530029,926.289978,894.799988,922,922,16909700
09/02/2022,935,946.27002,920,932,932,17419800
10/02/2022,908.369995,943.809998,896.700012,904.549988,904.549988,22042300
11/02/2022,909.630005,915.960022,850.700012,860,860,26548600
14/02/2022,861.570007,898.880005,853.150024,875.76001,875.76001,22585500
15/02/2022,900,923,893.380005,922.429993,922.429993,19095400
16/02/2022,914.049988,926.429993,901.210022,923.390015,923.390015,17098100
17/02/2022,913.26001,918.5,874.099976,876.349976,876.349976,18392800
18/02/2022,886,886.869995,837.609985,856.97998,856.97998,22833900
22/02/2022,834.130005,856.72998,801.099976,821.530029,821.530029,27762700
23/02/2022,830.429993,835.299988,760.559998,764.039978,764.039978,31752300
24/02/2022,700.390015,802.47998,700,800.77002,800.77002,45107400
25/02/2022,809.22998,819.5,782.400024,809.869995,809.869995,25355900
28/02/2022,815.01001,876.859985,814.710022,870.429993,870.429993,33002300
01/03/2022,869.679993,889.880005,853.780029,864.369995,864.369995,24922300
02/03/2022,872.130005,886.47998,844.27002,879.890015,879.890015,24881100
03/03/2022,878.77002,886.440002,832.599976,839.289978,839.289978,20541200
04/03/2022,849.099976,855.650024,825.159973,838.289978,838.289978,22333200
07/03/2022,856.299988,866.140015,804.570007,804.580017,804.580017,24164700
08/03/2022,795.530029,849.98999,782.169983,824.400024,824.400024,26799700
09/03/2022,839.47998,860.559998,832.01001,858.969971,858.969971,19728000
10/03/2022,851.450012,854.450012,810.359985,838.299988,838.299988,19549500
11/03/2022,840.200012,843.799988,793.77002,795.349976,795.349976,22345700
14/03/2022,780.609985,800.700012,756.039978,766.369995,766.369995,23717400
15/03/2022,775.27002,805.570007,756.570007,801.890015,801.890015,22280400
16/03/2022,809,842,802.26001,840.22998,840.22998,28009600
17/03/2022,830.98999,875,825.719971,871.599976,871.599976,22194300
18/03/2022,874.48999,907.849976,867.390015,905.390015,905.390015,33471400
21/03/2022,914.97998,942.849976,907.090027,921.159973,921.159973,27327200
22/03/2022,930,997.859985,921.75,993.97998,993.97998,35289500
23/03/2022,979.940002,1040.699951,976.400024,999.109985,999.109985,40225400
24/03/2022,1009.72998,1024.48999,988.799988,1013.919983,1013.919983,22973600
25/03/2022,1008,1021.799988,997.320007,1010.640015,1010.640015,20677200
28/03/2022,1065.099976,1097.880005,1053.599976,1091.839966,1091.839966,34168700
29/03/2022,1107.98999,1114.77002,1073.109985,1099.569946,1099.569946,24538300
30/03/2022,1091.170044,1113.949951,1084,1093.98999,1093.98999,19955000
31/03/2022,1094.569946,1103.140015,1076.640015,1077.599976,1077.599976,16330900
01/04/2022,1081.150024,1094.75,1066.640015,1084.589966,1084.589966,18012900
04/04/2022,1089.380005,1149.910034,1072.530029,1145.449951,1145.449951,27345300
05/04/2022,1136.300049,1152.869995,1087.300049,1091.26001,1091.26001,26691700
06/04/2022,1073.469971,1079,1027.699951,1045.76001,1045.76001,29782800
07/04/2022,1052.390015,1076.589966,1021.539978,1057.26001,1057.26001,26482400
08/04/2022,1043.209961,1048.439941,1022.440002,1025.48999,1025.48999,18293300
11/04/2022,980.400024,1008.469971,974.640015,975.929993,975.929993,19785700
12/04/2022,997.640015,1021.190002,976.599976,986.950012,986.950012,21992000
13/04/2022,981.080017,1026.23999,973.099976,1022.369995,1022.369995,18373700
14/04/2022,999.289978,1012.710022,982.190002,985,985,19444000
18/04/2022,989.030029,1014.919983,973.409973,1004.289978,1004.289978,17238400
19/04/2022,1005.059998,1034.939941,995.330017,1028.150024,1028.150024,16615900
20/04/2022,1030,1034,975.25,977.200012,977.200012,23570400
21/04/2022,1074.72998,1092.219971,996.419983,1008.780029,1008.780029,35138800
22/04/2022,1014.909973,1034.849976,994,1005.049988,1005.049988,23181600
25/04/2022,978.969971,1008.619995,975.299988,998.02002,998.02002,22780400
26/04/2022,995.429993,1000,875,876.419983,876.419983,45377900
27/04/2022,898.580017,918,877.359985,881.51001,881.51001,25652100
28/04/2022,899.97998,900,821.700012,877.51001,877.51001,41649500
